Found by Rudra,First Found,Issue #,Fix PR #,Merged,Title,Was On Stable,Inrtoduced,Fixed,Note
Y,Y,80335,81728,N,API soundness issue in join() implementation of [Borrow<str>],Y,1.28.0,,The fix has not yet been merged
Y,Y,80894,80895,Y,Heap buffer overflow in `read_to_end_with_reservation()`,Y,1.20.0,1.50.0,
Y,N,78498,78499,Y,String::retain allows safely creating invalid (non-utf8) strings when abusing panic,Y,1.26.0,1.49.0,The latest stable version was affected stable when Rudra detected it
Y,N,60977,62360,Y,Double drop in Vec::drain_filter,N,,,
N,N,80670,80670,Y,TrustedRandomAaccess specialization composes incorrectly for nested iter::Zips,Y,1.11.0,1.51.0,
N,Y,81740,81741,Y,Soundness issue in `Zip::next()` specialization,Y,1.14.0,1.52.0,
N,N,25842,25856,Y,BinaryHeap is not exception safe,Y,1.0.0,1.2.0,
